seq_name,tip,ratio
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Phosichthyidae_Polymetme_corythaeola_EPLATE_53_G10,8.95
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Sternoptychidae_Argyropelecus_olfersii_EPLATE_18_H09,8.18
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Gonostomatidae_Gonostoma_atlanticum_EPLATE_53_A10,17.92
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Gonostomatidae_Diplophos_rebainsi_EPLATE_53_F09,6.95
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Gonostomatidae_Diplophos_australis_EPLATE_53_G09,13.67
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Gonostomatidae_Diplophos_taenia_EPLATE_18_F09,11.38
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Alepocephaliformes_Platytroctidae_Holtbyrnia_laticauda_EPLATE_28_H06,16.53
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Alepocephaliformes_Platytroctidae_Persparsia_kopua_EPLATE_46_D03,12.33
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Salmoniformes_Salmonidae_Oncorhynchus_nerka_GCF_006149115.1,10.17
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Salmoniformes_Salmonidae_Oncorhynchus_keta_GCF_012931545.1,15.63
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Salmoniformes_Salmonidae_Oncorhynchus_kisutch_GCF_002021735.2,10.81
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Salmoniformes_Salmonidae_Oncorhynchus_tshawytscha_EPLATE_62_C09,6.58
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Salmoniformes_Salmonidae_Coregonus_palaea_25,8.86
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Esociformes_Esocidae_Esox_reichertii_EPLATE_44_C07,9.14
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Argentiniformes_Argentinidae_Glossanodon_spW1_EPLATE_46_E03,19.47
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Argentiniformes_Argentinidae_Argentina_sp_37,53.63
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Argentiniformes_Argentinidae_Argentina_sphyraena_33,10.76
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Galaxiiformes_Galaxiidae_Galaxias_truttaceus_EPLATE_25_B09,9.4
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Galaxiiformes_Galaxiidae_Lovettia_sealii_EPLATE_25_B10,14.01
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Ateleopodiformes_Ateleopodidae_Ijimaia_dofleini_EPLATE_26_E03,7.84
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Aulopiformes_Aulopidae_Hime_curtirostris_EPLATE_61_B03,6.91
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Aulopiformes_Bathysauroididae_Bathysauroides_gigas_EPLATE_46_E05,38.33
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Osmeriformes_Plecoglossidae_Plecoglossus_altivelis_EPLATE_44_G03,6.86
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Osmeriformes_Osmeridae_Thaleichthys_pacificus_76,13.65
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Phosichthyidae_Vinciguerria_attenuata_EPLATE_53_D11,6.09
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Phosichthyidae_Phosichthys_argenteus_EPLATE_53_A11,12.49
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Phosichthyidae_Woodsia_meyerwaardeni_EPLATE_53_E11,5.02
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Stomiidae_Chauliodus_sloani_EPLATE_18_A09,56.98
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Stomiidae_Rhadinesthes_decimus_EPLATE_53_A12,8.19
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Stomiidae_Pachystomias_microdon_121,15.57
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Stomiidae_Malacosteus_niger_EPLATE_18_A10,29.46
ATP6.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Stomiidae_Neonesthes_microcephalus_EPLATE_53_B12,73.61
E0001.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Clupeiformes_Clupeidae_Clupea_harengus_52,5.5
E0001.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Osmeriformes_Osmeridae_Osmerus_mordax_EPLATE_44_E11,5.45
E0001.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Stomiatiformes_Stomiidae_Astronesthes_boulengeri_EPLATE_53_F11,10.89
E0004.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Argentiniformes_Bathylagidae_Bathylagichthys_australis_EPLATE_46_H03,12.19
E0009.listd_allsets_aln_trimmed_renamed_noT_aln_trimmed,Salmoniformes_Salmonidae_Salmo_salar_13,5.63
